firm,pros,cons,sentiment,rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt
Marriott-International,great pay managers are helpful,they base the schedule on seniority so new hires get the worst schedules,Positive,4,3.0,3.0,3.0,4.0,2.0,3.0
Vodafone,very good work environment ejekwkkwmwkejjdhejqmmwjrhehw e sbe e e e e e e ee e e e e e e e e e e e e,no one cares for you they dont provide you ppo pre placement offer many other companies provide ppo to their interns,Positive,4,5.0,5.0,3.0,1.0,2.0,4.0
AstraZeneca,good work life balance well cultured good salaries if you negotiate learning opportunities well visioned,highly dominating senior leadership team,Positive,5,5.0,4.0,3.0,5.0,4.0,2.0
Cisco-Systems,strong culture very flexible working supportive management no micromanagement,seemingly never ending reorganization tendency to over administrate processes,Positive,5,4.0,5.0,5.0,5.0,5.0,5.0
BNP-Paribas,respect for colleagues good story holistic customer service,average salery complex company intransparent orgchart no carreer paths mediocre internal mobility,Positive,4,4.0,5.0,3.0,4.0,3.0,3.0
Oracle,good work life balance is good,compensation is not that much good,Neutral,3,5.0,4.0,3.0,4.0,2.0,3.0
J-P-Morgan,jp morgan is a leader in the industry and provides training and opportunities for growth in career development,the biggest downside is the salary,Neutral,3,3.0,4.0,3.0,4.0,5.0,4.0
PwC,your working arrangements are flexible,the hours can be very long at certain times of the year,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Salesforce,good work environment flexibility to work from home on above par salary,the management especially in the technical support team doesnt back their team and never try to understand the challenges from the teams perspective,Neutral,3,1.0,3.0,3.0,2.0,3.0,2.0
McDonald-s,fun environment doesnt get boring to work there,not a lifelong career path for most,Positive,4,5.0,5.0,5.0,2.0,3.0,5.0
Wellington-Management,humanistic humble competitive supportive open environment,slow moving not a lot of promotions to go around with low to,Positive,5,5.0,5.0,4.0,5.0,4.0,5.0
BNP-Paribas,great opportunity to learn and grow matured environment and great colleagues to work with,current organizational policy somehow slows down the transformation processes can be improved further,Positive,4,5.0,5.0,5.0,4.0,4.0,4.0
Accenture,breadth of customers process oriented,corporate ladder to restrictive for next gen leaders,Positive,4,3.0,4.0,3.0,5.0,4.0,3.0
IBM,good experienece of working with teammates and manager,i was directly put into testing domain against my wishes,Neutral,3,4.0,4.0,3.0,3.0,3.0,4.0
Imperial-College-London,flexibility good conditions generous pension understanding bosses my unit director is awesomely inspirational reasonable sick leave paternity leave and exceptional circumstance leave very good salary considering the range of responsibilities in the role,none at all whatsoeverrien nada zip zilch,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
H-and-M,hm is a great place to work if you are looking to progress within the retail industry the opportunities are endless i stared as a sales advisor with a passion for merchandising and and soon after the encouragement support from my store managment team became a trainee visual merchandiser in a busy city centre store where i learnt a lot im now a full time visual merchandiser in a shopping centre store everday is difrrent i am responsible for my own department every monday we have sales figures which i analises the performance of stock concepts garment groups within my department and react commercialy its really rewarding to see how the changes made visually impact the stores sales what i enjoy the most is my shifts they are fixed often monday friday hours a week,cant think of any,Positive,5,5.0,5.0,5.0,5.0,5.0,5.0
Deloitte,handsome salary in the company,no work life balance in the company,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Jurys-Inns,lovely place good salaries and you will learn a lot,different country and expensive place to life,Positive,5,4.0,3.0,3.0,4.0,4.0,4.0
GTR-Govia-Thameslink-Railway,the salary is goodmanagers are helpfulcaring and friendly,early start and late finishunsocial hours to work,Positive,4,4.0,4.0,3.0,3.0,4.0,4.0
next,pretty good discount was offered to employees,unreasonable targets for stockroom staff menial work with even worse treatment by the site manager,Negative,1,3.0,3.0,3.0,3.0,3.0,3.0
IBM,good atmosphere great challenges flexibility,distance from main city spent too much time in car,Positive,4,4.0,4.0,3.0,4.0,3.0,4.0
Deloitte,work life balance is tough,year end hike is good,Positive,4,3.0,4.0,3.0,4.0,4.0,3.0
Indeed,great workamazing coworkers and salary,long hours high volume work as well,Positive,4,4.0,4.0,3.0,3.0,4.0,4.0
Hyatt,this was actually from but it was a great experience i can only imagine its still about the same lots of hard work and long crazy hours but it fostered a good work ethic learned lots about excellent guest service and attention to details there were opportunities for growth if you performed well i liked the management outings they really empowered staff to make decisions on the spot for guests without getting immediate approvalyou just had to be prepared to justify what you did later to your manager,long crazy hoursits a business that never closes christmas bonus was pretty small guest issues could cause some headaches you have to work holidays,Positive,4,3.0,3.0,3.0,5.0,3.0,3.0
PwC,great culture and great ethical values,not innovative repetitive work love to brag slef proclaim as a high performing organization,Neutral,3,4.0,4.0,3.0,3.0,3.0,3.0
PwC,overtime training and lots to learn work culture,experienced employees will find the work mechanical and robotic,Positive,4,3.0,4.0,4.0,4.0,4.0,4.0
McDonald-s,great managment great people i kinda liked working there but at the same time i really didnt,i really hated the fact that i had to work hours after hours for like hours a week,Neutral,3,1.0,1.0,3.0,1.0,1.0,1.0
BNY-Mellon,great team good support from local management,hq on east coast and our west coast team was forgotten about a lot,Positive,5,5.0,4.0,3.0,5.0,4.0,5.0
Mastercard,mastercard has some of the best hr policies in place which are people centric mastercard believes in talent and they do their best in maintaining it supports employees to have a good worklife balance ample opportunities for career growth provides good benefits for fulltime employees,nothing which i want to share here,Positive,5,5.0,5.0,3.0,4.0,4.0,4.0
Primark,there was no pros to working there,i regret everything about working there,Negative,1,1.0,1.0,3.0,1.0,1.0,1.0
HSBC-Holdings,no firing rare heavy workloads good worklife balance,depends on your team not much growth rare onsite chances senior management needs to stepup,Neutral,3,5.0,4.0,3.0,3.0,3.0,2.0
J-P-Morgan,i have worked at chase for years and there are many pros one is their extreme support of your long term goals their ways to develop your career are great,in my past departments the cons are professionalism i used to work in a back office and they made it every difficult to voice your opinions or ideas they hired whoever to their management team even if they were not qualified this is not the case with my management team now but i know this remains an issue in their back office,Positive,5,5.0,5.0,3.0,5.0,5.0,4.0
Jurys-Inns,free meal staff rewards get time off over xmas,management hourslast minute rotas lower than average industry pay,Negative,2,1.0,3.0,3.0,2.0,2.0,1.0
Google,awesome company to start your career,no cons at all everything is good,Positive,5,5.0,5.0,5.0,5.0,5.0,5.0
McDonald-s,good hours for young people or anyone who wants free time,pay is not that high but you cant really ask for more in a fast food place unless youre in it for a career in it,Neutral,3,3.0,4.0,3.0,3.0,2.0,3.0
RSM,on the job experience great people,occasional turnover can cause heavy workloads at times,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
IBM,good place for development a lots of flexibility,long working hours can be tiresome,Positive,4,3.0,4.0,3.0,5.0,3.0,4.0
EY,flexible work schedule good company to launch your career competitive salary with good benefits travel opportunities ams internal transferz,intense work hours and less work life balance sometimes you are working on multiple clients and have to perform under lot of stress,Neutral,3,2.0,4.0,3.0,5.0,3.0,4.0
Blue-Yonder,compensation solutions people mostly flexibility,mediumsized company that behaves like a multib company,Neutral,3,4.0,3.0,3.0,3.0,4.0,3.0
KPMG,you get to work with a great variety of clients you will be exposed to a lot of training it opens doors to the global market as the brand is easily recognized and the brand gives you a competitive edge,its a very competitive environment and you dont earn very well,Positive,4,3.0,4.0,3.0,4.0,1.0,2.0
Oracle,very good company good learning culture good benefits good facilities,not good bosses long time doing same job hire cross skilled person and dont allow them to settle down no mentoring for product at all sure they dont have knowledge or wont allow others to settle down,Neutral,3,4.0,2.0,3.0,2.0,3.0,1.0
PwC,you are given actual work in fact theres not much difference between you and associates,not always enough work to go around can get very frustrating sitting at your desk with nothing to do facetime still expected,Positive,4,5.0,3.0,3.0,4.0,3.0,3.0
Google,fun great food supportive very smart,they are not proremote yet,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
Bloomberg-L-P,good interest all love mercy,good interest all love great,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
Google,all good nothing low quality,nothing life is herewill enjoy all benefitsget in iit first,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
SAP,flexible working time model great amount of benefits company car coffeetealunch for free corporate insurances equity plans great and high standard working equipment sport facilities on the campus great office facilities openminded and nice colleagues in a very diverse organisation,income for university graduates not comparable to other offers in the consulting market the new bonus plan in the german consulting organisation is not that attractive as before,Positive,5,5.0,5.0,3.0,5.0,4.0,5.0
Deloitte,best place to have and its wonderful to work wonderful food and cafer initiatives are good always awesome in terms of benefits,lot of content not revealed to the downward employees lot of business reasons makes sense better places to work are there,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
IBM,internal job changes clever people benefits work life balance,too many processes to drive agile changes,Positive,4,4.0,5.0,5.0,4.0,3.0,4.0
Microsoft,always wonderful working here in microsoft,always no promotions given on experience,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
Microsoft,a good place to work at great environment great colleagues and managers,too much work to do not so good work life balance,Positive,5,5.0,3.0,3.0,5.0,5.0,5.0
EY,great mentors people want you to succeed upperlevel managers are clear on expectations and work with you the hours are not too bad overall pay is competitive high morale,none personally so far but these depend on your team and what engagements you may or may not be pulled on,Positive,5,4.0,5.0,3.0,5.0,5.0,4.0
IBM,good pay many good people not uncommon to find flexible managers trying to change for the better,often paralyzed by process sketchy means of thinning their workforce too many crossfunctional groups in different locations,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Hays,the only positive was the friendships i made with coworkers other than that there are only negatives,leadership has a completely flawed vision they spend their time on meaningless tasks that dont pertain to production leadership focuses on metrics like amount of calls made and neglects profit that employees bring in the only thing that matters the majority of account managers are awful with feedback and lose out on countless deals and opportunities for new business as an employee if you speak your mind about something you get reprimanded for the past year the jobs recruiters have had to work have been objectively awful and for the most part a waste of time if you want stability dont come here hays is a revolving door and they could care less about their employees in fact they will consistently lie to your face i wouldve liked to do the referral program but i thought the i would gain from it wouldnt be worth knowing i lead someone into a sinking ship do not work here,Negative,1,1.0,1.0,3.0,1.0,3.0,1.0
Irwin-Mitchell,a firm that genuinely cares about its clients right to the core client care is a passion and it shows throughout the business pay is competitive and working conditions are pretty good you genuinely feel like youre fighting the good fight working for a firm that cares about you and your development,time targets are very high and annual leave isnt taken into account so after taking holiday you have to put double the hours in to try and catch back up doesnt promote a healthy work life balance,Positive,5,2.0,5.0,3.0,5.0,4.0,5.0
Apple,very diverse group of people you work with and lead,it is a retail job,Positive,4,2.0,3.0,3.0,3.0,5.0,5.0
Colt-Technology-Services,good salary packages and working environment,takes weeks to achieve modest changes,Neutral,3,3.0,2.0,3.0,2.0,4.0,1.0
Citi,good benefits laid back management equipment is fairly new good location good vacation and sick time available availability to flex time off on site gym and on site cafeteria also on site banking services company sponsor vendors with especial prizing and offers divers culture and good networking options as well as volunteering,management lack vision and doesnt recognize internal talent production floor its hectic upper management lack touch with production cut throat business,Negative,2,3.0,2.0,3.0,2.0,3.0,1.0
Oracle,a lot of scope to explore new things you will be with the best in the world your ideas are respected and you can balance work and personal life very nicely an admiring place for any learner,compensation wise i am in the same place as i was years ago no significant hike new hires less than my designation get my salary multiplied by or my advise is not to come to oracle in your too early stages of your career come here when you already have year of experience in a good position and ofcourse compensation,Positive,5,5.0,4.0,3.0,5.0,2.0,3.0
IBM,ibm continues to seek out the best and brightest among computer professionals from around the world the culture of technical excellence and advancement is still solidly in place,with so many highly talented and skilled professionals the culture at ibm is often cutthroat to the point that genuine talent is overshadowed by personalities and cliques employees are often viewed as disposable and interchangeable with more emphasis frequently placed on bringing in fresh college hires than retaining more experienced workers,Negative,2,1.0,3.0,3.0,2.0,2.0,1.0
GLL,not very much i can say about this my experience wasnt very nice with the organisation as a whole,not much going for the company customer services,Negative,2,1.0,1.0,3.0,1.0,1.0,1.0
Oracle,the work life balance is great we are allowed to work and flexible hours and work from home as per the need,there is no cons that i can think of,Positive,5,5.0,5.0,3.0,4.0,5.0,4.0
IBM,ibm has shaped the world in terms of technology and continue to do so away from the consumers eyes its great to be part of a company that is part of human evolution and we learn daily how much can be done to improve peoples lives,the transformation process is extremely painful its a known fact that several people have left ibm so they could return to better higher positions because its so hard to move or get a promotion,Neutral,3,5.0,3.0,3.0,2.0,3.0,2.0
Bain-and-Company,good company with a lot of benefits and management is highly supportive,nothing the company is really supportive,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
Specsavers,supportive working environment clear career ladder,salary is a bit low,Positive,4,5.0,5.0,3.0,4.0,3.0,5.0
McDonald-s,i work at the hattersley mcdonalds and i rather like it i told then to only give me am shifts and so they do and still do and they have nevergive me something else with out me asking or changeing shifts i rather love it no pune intended i live a few seconds afew if that,some mangers can be slow to promote people,Positive,4,4.0,4.0,3.0,3.0,3.0,3.0
Deloitte,great exposure to multiple types of projects within a team provide enough learning opportunities flexible in project and type of work selection most of the times not to be worried about out of pocket expenses for professional trips leadership is phone call and or hand wave away great brand power in the market lesser interoffice politics within teams no gender biasness,slightly lower on pay scale little strict on work life balance,Positive,4,4.0,4.0,3.0,4.0,3.0,3.0
J-P-Morgan,none none none none none,bad cafeteriafood court biased culture when it comes to benefits worst transport departmentvery inefficient and unprofessional people,Negative,1,1.0,1.0,3.0,1.0,1.0,1.0
Microsoft,i really love working for microsoft there is a lot of professional growth moreover i really love the work balance i enjoy continuous training,i really cannot find any it is a very good company to work for and we are growing so much on the cloud,Positive,5,5.0,5.0,3.0,5.0,5.0,4.0
Debenhams,the pros of debenhams are the discounts across the store,the cons of debenhams are the lack of respect for customers and staff,Negative,1,1.0,1.0,3.0,1.0,1.0,1.0
Sainsbury-s,easy job with minimum skill,hard work sometimes but not bad,Positive,5,3.0,3.0,3.0,2.0,3.0,3.0
CBRE,great company to work for great benefits,never know whats going on you find out last minute with management changes,Neutral,3,3.0,2.0,3.0,4.0,3.0,2.0
Google,everyday is an exciting challenge the people are incredible,can get a bit competitive at times in a good way,Positive,5,4.0,5.0,3.0,4.0,4.0,5.0
Google,good pay good benefits very little bureaucracy in the way of accessing user data to try and do cool things,disconnected from average consumers products come second to monetization by ads,Negative,2,1.0,1.0,3.0,2.0,5.0,3.0
Microsoft,great people great opportunities to improve the way people work,its large and you need to lean your way around,Positive,5,5.0,3.0,3.0,5.0,5.0,5.0
IBM,many opportunities to work with different projects,some clients are not cooperative and friendly,Positive,4,3.0,3.0,3.0,4.0,3.0,3.0
HSBC-Holdings,excellent place to work you get all the facilities like transportation etc,i did not see any,Positive,4,5.0,5.0,3.0,2.0,3.0,3.0
SAP,good benefits in company and everything modern,cannot say wring things here,Positive,4,4.0,5.0,3.0,3.0,5.0,3.0
University-of-Leeds,very good work environment excell place to get engaged with people,hard to get through interview process,Positive,5,4.0,5.0,3.0,5.0,4.0,4.0
King-s-College-London,good starting salary for all positions,slow to implement some changes to benefits staff,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Citi,amazing workplace wonderful n responsible management,no change required good job,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
SAP,work with many talented people,none at this time currently,Positive,5,4.0,4.0,3.0,4.0,4.0,4.0
Vodafone,good people good salary benefits good worklife balance,lack of comunication they dont talk about the elephant in the room legacy processes hard to get the right person to do what should be done,Positive,4,5.0,5.0,3.0,4.0,5.0,4.0
Harrods,fantastic benefits including generous discount allowance pension scheme reliable payment help development and progression within the company fantastic pay and excellent commision,pm finishes on late shift,Positive,5,3.0,4.0,3.0,4.0,4.0,4.0
Lloyds-Banking-Group,great work culture everyone is really supportive and helpful,i cannot think of one,Positive,5,5.0,5.0,5.0,5.0,5.0,5.0
JLT-Group,i have experience in back office operation i have experience in health insurance we worked for blue cross blue shield co which is in usa if i get opportunities in same field it would be great where i can utilise my skill,as per my observation they are good interms of work which is very good i like there way of working there is no negative side for jlt,Positive,5,4.0,5.0,3.0,4.0,5.0,5.0
BBC,you get to work on incredible projects in incredible teams for a worldleading organisation,theres a lot of bureaucracy and as its a large organisation you often dont feel seen or looked after,Positive,4,3.0,4.0,4.0,5.0,3.0,2.0
American-Express,its good company to work for,its having some hardship recently will break up with costco next march,Positive,5,5.0,4.0,3.0,5.0,3.0,4.0
McDonald-s,good training opportunity for staff,better structureteam dynamics in store,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
Thomson-Reuters,great place to grow learn use your mind,none that i think merit mention,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Bain-and-Company,incredibly collaborative environment with people eager to help each other,there could be more visibility into some staffing decisions,Positive,5,4.0,5.0,3.0,5.0,5.0,5.0
Sainsbury-s,good pay but ends there really,everything else inbetween hated my time here,Negative,1,1.0,2.0,3.0,1.0,1.0,4.0
Google,everything was very cool best place for interns,couldnt come with fair cons dont want make up them to fill this field,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
IBM,smart technical people good benefits engineering group is one of the most collaborative and helpful groups ive ever worked with in hightech,expense control is ridiculous insufficient hardware and software resources,Neutral,3,3.0,3.0,3.0,3.0,5.0,3.0
McDonald-s,good company with decent benefits and good training,the late hours and the turnover of the staff,Neutral,3,2.0,4.0,3.0,3.0,4.0,4.0
Sodexo,it was a really fun job,i had to work a lot of hours,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
McDonald-s,great opportunity for young people looking for employment,they dont have many minority owners,Positive,4,3.0,3.0,4.0,4.0,4.0,3.0
Oracle,every is good nothing is bad,management keeps changing and no proper direction,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
PwC,new facility young workforce,slow progress on projects,Negative,2,2.0,1.0,3.0,3.0,4.0,1.0
McDonald-s,worldwide recognition and friendly customers,menu needs simplicity too many items,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
CBRE,big comp around the world,long working hours and rough manager,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Deloitte,good corporate culture get to learn a lot,working overtime gap between managers and subordinates,Positive,4,3.0,4.0,3.0,4.0,4.0,4.0
University-of-Warwick,flexibility of staff customerfacing lots of variety,not always casual shifts to suit availability,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Serco-Group,everyone else also hated it you are not alone,no business direction vision or values and how to support encourage employees a truly dreadful place where they not only remind you of your status but do nothing to propel your career or fill you with encouragement that you can do anything outside the box a place full of tired negative people who have refused to take part in the joy of life and will make sure you join them on their horror journey,Negative,1,3.0,3.0,3.0,3.0,3.0,3.0
SAP,it is a company that makes employees feel part of a family they always try to balance the workload and the personal life of each of their employees and the hard work pays well there,growth opportunities within the company limited to sales,Positive,5,5.0,5.0,3.0,3.0,5.0,5.0
Cushman-and-Wakefield,schedule flexibility wfh ping pong great people great teams promotions weeks vacation sick days personal day around holidays good benefits great work life balance,cant think of any cons,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
Oracle,excellent pay great benefits growth opportunity,a lot of corporate policy changes no overtime,Positive,5,5.0,4.0,3.0,5.0,5.0,3.0
Oracle,great organization tools and products,no specific cons i would say,Positive,4,2.0,3.0,3.0,5.0,4.0,3.0
Willmott-Dixon,they understand your problems all the yime,pay umbrella more than taxes,Positive,5,3.0,3.0,3.0,1.0,5.0,5.0
McDonald-s,fair pay easy hours easy job,no benefits high amount of staff,Positive,5,5.0,5.0,3.0,3.0,5.0,5.0
Google,very good if you are mark,dont even try your luck,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
Grant-Thornton,people are very helpful working hours are not an issue and overall work culture is good,unattractive pay and the quality of work is not interesting,Neutral,3,4.0,4.0,3.0,3.0,1.0,4.0
Capita,the team around you will try and keep your spirits high however by breakfast in the canteen decently priced,management really does vary and almost feels as though they make up their own rules and will go to whatever end to get rid if they dont like you i worked there for and a half years with no problems and returned back for a month and was dismissed without prior warning or direct coaching regarding marked calls still awaiting a response to see if i can appeal this canteen prices apart from breakfast are ridiculous toilets well lets just say cess pit even the women are animals ive heard have no respect for each others lifestyles or what impacts your day to day life unless youve got one of the very few decent managers still left there before they got rid of them too the only progression is up to the management level then again the cleaners have probably got better progression routes into the business no offence to the cleaners,Negative,1,4.0,1.0,3.0,1.0,1.0,1.0
Pearson,intelligent and dedicated teams and individuals committed to finding and delivering solutions able to tackle difficult projects and situations and handle them professionally strong project management and consulting services good leadership,pearson is a large global company and communication from leadership sometimes is lacking and doesnt contain enough detail when making it down to its numerous locations and divisions needs to develop and maintain a consistent mission around its strategic objectives and fully develop and implement it needs to improve its compensation to attract top talent in a competitive economic climate,Positive,4,4.0,4.0,3.0,4.0,3.0,4.0
Citi,good pay flexibility leaves benefits,culture is too formal to work,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Citi,no pros at all,worst place tht i work less staff benefit no bonusesinside politics,Negative,1,2.0,2.0,3.0,2.0,1.0,1.0
Oracle,really good communication across the company oracle uses its own technology so using the internal systems is pretty easy and reliable,this is a huge company and nearly all decisions come from the very top of the food chain everything is driven by the bottom line so lay offs occur without warning and typically make little sense to individual contributors dont think that just because youre swamped in work youre too valuable to the company to be laid off youre not viewed that way the people who pull the levers have no idea what you do daytoday,Neutral,3,3.0,3.0,3.0,3.0,3.0,2.0
Barclays,huge business with endless opportunities for progression and movement for those who want jt,hierarchical and legacy company things take a long time to get done,Positive,4,3.0,3.0,3.0,5.0,3.0,3.0
PwC,great culture and work ethic,lack of visibility across whole company,Positive,5,4.0,5.0,3.0,4.0,3.0,4.0
Deloitte,young culture super events friendly ceo,workload they offer flexibility but then youre seen in a bad light if you take the flexibility everyone works individually too quiet,Neutral,3,3.0,3.0,3.0,3.0,3.0,4.0
Babcock-International-Group,wide exposure across the group,changes across the business can be very slow to be implemented,Positive,4,3.0,2.0,3.0,3.0,2.0,2.0
Santander,pay benefits opportunities people and culture,slow to market teams stretched,Positive,4,4.0,4.0,3.0,4.0,4.0,4.0
ASOS,work perks discount summerchristmas parties the vibe in the office really focused on pushing me to my best on my internship everyone i worked with were so friendly and helpful,pay could be slightly higher hard to develop and progress as employment is slowing down,Positive,5,4.0,4.0,3.0,4.0,5.0,4.0
Skipton-Building-Society,fantastic culture and values for staff and amazing worklife balance makes working here really fun and enjoyable the people here are what makes the place,doesnt pay quite as well as leeds city centre but the advantages definitely make up for it,Positive,5,5.0,5.0,3.0,5.0,4.0,4.0
Dynatrace,outstanding technology amazing management team happy customers constantly innovating brilliant training,brand awareness ongoing training,Positive,5,5.0,5.0,3.0,5.0,4.0,5.0
HSBC-Holdings,scale diversity depth maturity and peoplefocus,big conservative slow complex uk based,Positive,5,5.0,4.0,3.0,4.0,3.0,4.0
J-P-Morgan,decent benefits thats about it,management has their favorites and if your not one of them you can forget any chance at anything large building with over employees and only parking spaces typically you drive around for long periods of time to find somewhere to park and if your late get written up if you work past pm forget about the cafe and cant leave due to the mass quantity of people in the location,Negative,2,1.0,2.0,3.0,2.0,3.0,1.0
PwC,working on several clientsprojects gives you an opportunity to see best practices you can work from home,your assigned coach can be lacking your best interest no worklife balance,Neutral,3,2.0,2.0,3.0,2.0,3.0,3.0
Pizza-Hut,surprising leniency in regards to employee error or i suppose you could say neutrality easy even if a little vague hiring process other than that i got nothing,the company at least my local franchise is obsessed with the bottom line and profit margins and believe me this is felt by the main labor force very little to no positive reinforcement for model behavior or over achievement regional and district management is always demanding more from already downtrodden workers who are only compensated nominal or minimal wage and only scheduled base hours to avoid obamacare the food recipes are too over engineered and make an already stressful job even more chaotic corners are cut at every angle possible with the product preparation and so forth half the time management is either undependable because of squabbling between themselves or cracking a metaphorical whip to somebody who had the bad luck of looking at them wrong,Negative,1,3.0,2.0,3.0,2.0,1.0,1.0
Network-Rail,care pension flexible working opportunities to progress within the company good level of autonomy,focuses on processes over results bureaucratic in nature that often stifles innovation from happening,Positive,4,4.0,3.0,3.0,5.0,4.0,2.0
IBM,variety of projects to handle,job security is not as good as can be expected,Positive,4,4.0,4.0,4.0,3.0,4.0,3.0
J-P-Morgan,strong teamoriented culture and people interesting work stimulating environment,hours demanding work environment poor worklife balance,Positive,5,2.0,4.0,3.0,5.0,5.0,5.0
BT,reasonable pay good conditions and people,structure rigid lot of long termers,Positive,4,4.0,4.0,3.0,3.0,3.0,3.0
McDonald-s,flexible fastpaced good team work new experiences,shift times could be stuck hard at changing availability,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
IBM,good team good salary good place to work in the end,the general organization was a bit weak,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Oracle,great work allowances better work place,internal politics manager oriented only,Positive,4,3.0,1.0,3.0,4.0,4.0,1.0
Coventry-University,some great colleagues to work with some excellent home and exceptional international students especially from the eu,poor line managers who were the yes men to the top management very political management environment which did not work with our teaching ethos and the he environment very very bad and toxic,Negative,2,1.0,2.0,3.0,2.0,4.0,1.0
Marriott-International,great company to work for,none that i can think of,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
Tesco,flexible good training nice colleagues,can be physical late shifts,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
IBM,good working environment in ibm,need to do night shift and no national holidays,Positive,5,3.0,5.0,3.0,3.0,3.0,4.0
KPMG,culture colleagues compensation career opportunities,workload work life balance challenges,Positive,5,4.0,5.0,5.0,5.0,4.0,5.0
AstraZeneca,good benefits but that about it,weak management definitely on the decline and looking hard to save money wherever they can no pride in the work just a paycheck mentality,Negative,2,3.0,4.0,3.0,1.0,4.0,1.0
UK-Ministry-of-Defence,variety multiple roles large organisation,unfair policies towards injured personnel,Neutral,3,4.0,4.0,4.0,4.0,4.0,4.0
LV,good team good parking good pay,bad shift pattern and felt like being watched over my shoulder,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
Citi,organization values talent provides opportunity to grow employee friendly provides great options for mobility across business and geographically overall a great place to work,it is no longer the top paymaster it used to be specifically due to india being one of the frontier markets often indian employees do not want to take on overseas role for lateral movements but only for larger roles leading to stagnation at top,Positive,5,4.0,5.0,3.0,5.0,4.0,4.0
University-of-Michigan,truly home to the leaders and the best,none love it at the university of michigan,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
J-P-Morgan,great culture many opportunities good leadership great commissions,salary is not great convenience in branch needs to improve not treated like a partner cant work from home,Positive,5,4.0,5.0,4.0,4.0,4.0,4.0
Deutsche-Bank,good overall work life balance,management bonus decrease every year,Positive,4,4.0,4.0,3.0,4.0,4.0,4.0
Deloitte,very good culture within the organisation,lots of working ours within the organisation,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
BNY-Mellon,you need money to pay your bills,except for the slim payslip thanks god i still have one in these hard times i am still looking for a good reason to work for bny mellon the bank is organized as a data plant there ia an extreme appointment of jobs like in the ford factories in the first decades of xx century as a consequence the daily tasks assigned to one employee are limited and of course repetitive till the vomit the organization is extremely hierarchized market specialist are controlled by controllers controllers by the team leaders the team leaders by team managers of firts level who are controlled by managers of second level which are controlled by the department manager the atmosphere is apparently informal and young but in the end is very very very traditional your boss is your boss and you have to bells him beacuse you have a job,Negative,2,4.0,3.0,3.0,1.0,3.0,2.0
Bannatyne-Group,meet some lovely friends free membership had gain some customer service experience and your entitled to discount on products,my experience at bannatyne has not been that great tbh first of all they was giving me poor hours even though i asked for more the excuse was they was on a budget secondly i have been a receptionist for almost years with no progression considering the fact i have been there long there was no pay rise thirdly there is lack of respect from the management my manager is not a nice person not only because she is a bad manager but because she has no social skills no leadership skills and more to the point talks to the cleaners like they are nothingshe also doesnt practice what she teaches fourthly from member perspective they are paying way too much in this gym there is always issues that was never dealt with promptly such as the lift braking down consistently leaks in the ladies changing room pool ceiling that was going to collapse on members and the pool temperature in all honesty i have built a strong team here an there is always banter with the co workers which was the fun part in summary the experience was bad from beginning to end i say this because i didnt have a choice to accept this position due to the flexible hours whilst at university wouldnt recommend to family or friends such a disgrace this company,Negative,1,1.0,1.0,3.0,2.0,1.0,1.0
McDonald-s,if you need to pay bills this job works,probably not the best job you can go for but again it pays the bills,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
ASDA,flexible shifts reasonable pay reasonable amount of hours,illogical orders from managers lack of basic training,Neutral,3,3.0,2.0,3.0,2.0,3.0,2.0
Bloomberg-L-P,they pay you a lot,too much work and too much pressure,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
